Id,Time,Value
6962181067,2016/3/30 0:00,60
6962181067,2016/3/30 0:00,60
6962181067,2016/3/30 0:00,59
6962181067,2016/3/30 0:00,59
6962181067,2016/3/30 0:00,60
6962181067,2016/3/30 0:01,60
6962181067,2016/3/30 0:01,61
6962181067,2016/3/30 0:01,61
6962181067,2016/3/30 0:01,64
6962181067,2016/3/30 0:01,62
6962181067,2016/3/30 0:01,61
6962181067,2016/3/30 0:02,60
6962181067,2016/3/30 0:02,60
6962181067,2016/3/30 0:02,60
6962181067,2016/3/30 0:02,60
6962181067,2016/3/30 0:02,59
6962181067,2016/3/30 0:02,58
6962181067,2016/3/30 0:03,58
6962181067,2016/3/30 0:03,57
6962181067,2016/3/30 0:03,57
6962181067,2016/3/30 0:03,58
6962181067,2016/3/30 0:03,58
6962181067,2016/3/30 0:03,61
6962181067,2016/3/30 0:04,62
6962181067,2016/3/30 0:04,61
6962181067,2016/3/30 0:04,62
6962181067,2016/3/30 0:04,61
6962181067,2016/3/30 0:04,61
6962181067,2016/3/30 0:04,61
6962181067,2016/3/30 0:05,61
6962181067,2016/3/30 0:05,59
6962181067,2016/3/30 0:05,59
6962181067,2016/3/30 0:05,58
6962181067,2016/3/30 0:05,58
6962181067,2016/3/30 0:05,58
6962181067,2016/3/30 0:06,58
6962181067,2016/3/30 0:06,58
6962181067,2016/3/30 0:06,58
6962181067,2016/3/30 0:06,58
6962181067,2016/3/30 0:07,58
6962181067,2016/3/30 0:07,58
6962181067,2016/3/30 0:07,58
6962181067,2016/3/30 0:07,59
6962181067,2016/3/30 0:08,59
6962181067,2016/3/30 0:08,59
6962181067,2016/3/30 0:08,59
6962181067,2016/3/30 0:08,59
6962181067,2016/3/30 0:08,59
6962181067,2016/3/30 0:08,59
6962181067,2016/3/30 0:09,58
6962181067,2016/3/30 0:09,59
6962181067,2016/3/30 0:09,59
6962181067,2016/3/30 0:09,58
6962181067,2016/3/30 0:09,58
6962181067,2016/3/30 0:10,58
6962181067,2016/3/30 0:10,58
6962181067,2016/3/30 0:10,57
6962181067,2016/3/30 0:10,57
6962181067,2016/3/30 0:10,57
6962181067,2016/3/30 0:10,57
6962181067,2016/3/30 0:11,57
6962181067,2016/3/30 0:11,56
6962181067,2016/3/30 0:11,57
6962181067,2016/3/30 0:11,57
6962181067,2016/3/30 0:11,57
6962181067,2016/3/30 0:12,57
6962181067,2016/3/30 0:12,56
6962181067,2016/3/30 0:12,57
