Id,ActivityDate,TotalSteps,TotalDistance,Calories,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,HasActivityData,HasSleepData
1503960366,2016-03-13,0.0,,0.0,1.0,411.0,426.0,False,True
1503960366,2016-03-14,0.0,,0.0,1.0,354.0,386.0,False,True
1503960366,2016-03-15,0.0,,0.0,1.0,312.0,335.0,False,True
1503960366,2016-03-16,0.0,,0.0,2.0,333.0,366.0,False,True
1503960366,2016-03-17,0.0,,0.0,1.0,402.0,437.0,False,True
1503960366,2016-03-18,0.0,,0.0,1.0,379.0,411.0,False,True
1503960366,2016-03-19,0.0,,0.0,1.0,447.0,468.0,False,True
1503960366,2016-03-20,0.0,,0.0,1.0,469.0,476.0,False,True
1503960366,2016-03-21,0.0,,0.0,1.0,390.0,427.0,False,True
1503960366,2016-03-23,0.0,,0.0,1.0,281.0,297.0,False,True
1503960366,2016-03-24,0.0,,0.0,1.0,303.0,344.0,False,True
1503960366,2016-03-25,11004.0,7.1100001335144,1819.0,1.0,351.0,386.0,True,True
1503960366,2016-03-26,17609.0,11.5500001907349,2154.0,2.0,437.0,472.0,True,True
1503960366,2016-03-27,12736.0,8.52999973297119,1944.0,3.0,483.0,506.0,True,True
1503960366,2016-03-28,13231.0,8.93000030517578,1932.0,1.0,73.0,77.0,True,True
1503960366,2016-03-29,12041.0,7.84999990463257,1886.0,1.0,349.0,378.0,True,True
1503960366,2016-03-30,10970.0,7.15999984741211,1820.0,,0.0,0.0,True,False
1503960366,2016-03-31,12256.0,7.8600001335144,1889.0,1.0,308.0,336.0,True,True
1503960366,2016-04-01,12262.0,7.86999988555908,1868.0,1.0,283.0,306.0,True,True
1503960366,2016-04-02,11248.0,7.25,1843.0,1.0,439.0,509.0,True,True
1503960366,2016-04-03,10016.0,6.36999988555908,1850.0,1.0,379.0,426.0,True,True
1503960366,2016-04-04,14557.0,9.80000019073486,2030.0,1.0,294.0,337.0,True,True
1503960366,2016-04-05,14844.0,9.72999954223633,2083.0,1.0,280.0,309.0,True,True
1503960366,2016-04-06,11974.0,7.67000007629395,1861.0,,0.0,0.0,True,False
1503960366,2016-04-07,10198.0,6.44000005722046,1755.0,,0.0,0.0,True,False
1503960366,2016-04-08,12521.0,7.94000005722046,1895.0,,0.0,0.0,True,False
1503960366,2016-04-09,12432.0,8.10000038146973,1883.0,1.0,380.0,407.0,True,True
1503960366,2016-04-10,10057.0,6.98000001907349,1755.0,1.0,455.0,478.0,True,True
1503960366,2016-04-11,10990.0,7.26000022888184,1811.0,1.0,310.0,329.0,True,True
1503960366,2016-04-12,13162.0,8.5,1985.0,1.0,327.0,346.0,True,True
1503960366,2016-04-13,10735.0,6.96999979019165,1797.0,2.0,384.0,407.0,True,True
1503960366,2016-04-14,10460.0,6.73999977111816,1776.0,,0.0,0.0,True,False
1503960366,2016-04-15,9762.0,6.28000020980835,1745.0,1.0,412.0,442.0,True,True
1503960366,2016-04-16,12669.0,8.15999984741211,1863.0,2.0,340.0,367.0,True,True
1503960366,2016-04-17,9705.0,6.48000001907349,1728.0,1.0,700.0,712.0,True,True
1503960366,2016-04-18,13019.0,8.59000015258789,1921.0,,0.0,0.0,True,False
